Answer RRs,BytesEx,Duration,FPL,Length,Next sequence number,No.,NumPackets,SameLenPktRatio,Sequence number,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward,IP_Flags_Encoded,Protocols_in_frame_Encoded,BROWSER,DHCP,DHCPv6,DNS,HTTP,ICMP,LLMNR,MDNS,NBNS,SSDP,SSL,TCP,TLSv1.2,UDP,label
0.0,-0.11889588464175335,0.0,-0.04246273862179537,-0.43158053143645675,-0.13489298334057298,0.3591351074718526,-0.11941338547680073,0.7476682965010647,-0.07292333901996978,-0.09339853118403428,0.0,0,0,0.0,-0.1773537275724351,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,9.140670843036776,-0.2704813306893723,-1.524761834304704,-0.6364679417964751,0.6666666666666666,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.25,-0.0977795192052734,0.14842000511827322,0.03269648277319669,-0.029545720762509414,-0.15691656804147108,0.1406409928352098,-0.11941338547680073,0.7476682965010647,-0.07678692301011403,0.21921916667163374,0.0,0,0,0.0009442870632672333,0.386877990207224,9.729193687429403,-0.08730933444399132,0.4403739514214957,-1.1383197914324918,8.228030022682658,-0.3387425891394011,0.4279001021267363,-0.18709745137869058,1.0,0.8235294117647058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,-0.09604392752556272,3.044522437723423,-0.48089153009258245,-0.3727461688988059,-0.1537703416556285,0.6453428863868987,-0.003911351645051435,-1.5394908776504521,-0.07678692301011403,-0.38006065621008256,0.0,0,0,0.0028328611898017,-0.46333418726897463,4.94306997460049,-0.12680871077843206,-0.2913216152289169,0.50983192104729,9.69962565950397,-0.3387425891394011,0.4279001021267363,0.7116435294568785,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.11947441520165691,0.0,-0.48089153009258245,-0.3727461688988059,-0.1537703416556285,0.08520982599795292,-0.09053787701886341,-0.39590957520617065,-0.07678692301011403,-0.38006065621008256,0.0,0,0,0.0009442870632672333,-0.4324173808152947,0.0,-0.12778000691780353,-0.2913216152289169,-0.9551918233791827,7.696835172804964,-0.3387425891394011,1.4042310703424565,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.08808913232688877,3.044522437723423,-0.5017695091424214,-0.3727461688988059,-0.1537703416556285,0.4456563459570113,0.02496415681288589,-1.2127543428769563,-0.07678692301011403,-0.3831422851666948,0.0,0,0,0.0028328611898017,-0.46664692308048644,5.088830141681313,-0.1266468280885368,-0.2913216152289169,-0.9551918233791827,9.329722128996263,-0.3387425891394011,0.7533405037620823,0.7116435294568785,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.13769812783861907,0.0,-0.48089153009258245,-0.43158053143645675,-0.13489298334057298,0.10292988741044012,-0.14828889393473804,0.7476682965010647,-0.07292333901996978,-0.43532413821367116,0.0,0,0,0.0,-0.44787578404213463,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,7.894139076907192,-0.2704813306893723,-1.524761834304704,-0.6364679417964751,0.6666666666666666,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,-0.11368910960262131,0.0,0.18301492556318083,0.666660902599692,0.21748437187379646,0.0720957011258956,-0.11941338547680073,0.7476682965010647,-0.07292333901996978,0.14106474220771673,0.0,0,0,0.0,-0.03822809853087532,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,7.500977146374195,1.0037288270444984,0.4279001021267363,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,1.293586477362789,4.22344113555651,-0.48089153009258245,13.825946656854262,14.284262542975993,0.04513178096212897,0.34259474985019644,-1.9206835015528636,12.016230966141377,6.2150409947852445,0.0005974748824704014,0,0,0.0066100094428706326,3.363478552753009,7.077531808273797,-0.12691365608863733,-0.2913216152289169,0.3267039529939809,4.873738243995431,16.27149696703427,0.4279001021267363,3.407866471963586,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,-0.08924619344669589,3.044522437723423,-0.5184711407900785,-0.4119690772572398,-0.1537703416556285,0.7119370522006142,0.02496415681288589,-1.2127543428769563,-0.07678692301011403,-0.40074217309081606,0.0,0,0,0.0028328611898017,-0.47547985468430276,5.0689042022202315,-0.1266468280885368,-0.2913216152289169,-0.9551918233791827,9.82811724551135,-0.3387425891394011,0.7533405037620823,0.7116435294568785,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.11947441520165691,0.0,-0.48089153009258245,-0.3727461688988059,-0.1537703416556285,0.07120010235414534,-0.09053787701886341,-0.39590957520617065,-0.07678692301011403,-0.38006065621008256,0.0,0,0,0.0009442870632672333,-0.4324173808152947,0.0,-0.12778000691780353,-0.2913216152289169,-0.9551918233791827,7.484497848421934,-0.3387425891394011,1.4042310703424565,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.11368910960262131,0.0,0.18301492556318083,0.666660902599692,0.21748437187379646,0.10085081883316274,-0.11941338547680073,0.7476682965010647,-0.07292333901996978,0.14106474220771673,0.0,0,0,0.0,-0.03822809853087532,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,7.871433286675967,1.0037288270444984,0.4279001021267363,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.11947441520165691,0.0,-0.48089153009258245,-0.3727461688988059,-0.1537703416556285,0.140992835209826,-0.09053787701886341,-0.39590957520617065,-0.07678692301011403,-0.38006065621008256,0.0,0,0,0.0009442870632672333,-0.4324173808152947,0.0,-0.12778000691780353,-0.2913216152289169,-0.9551918233791827,8.22813150106251,-0.3387425891394011,1.4042310703424565,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.25,-0.1064574776038268,0.04879016416943204,-0.1050954231176221,-0.1374087187482026,-0.15691656804147108,0.3194089048106449,-0.11941338547680073,0.7476682965010647,-0.07678692301011403,0.033602408569830856,0.0,0,0,0.0009442870632672333,0.15500194180462437,10.69559732562212,0.0017261449983955607,0.2691260528437396,-1.1383197914324918,9.01607092253029,-0.3387425891394011,0.4279001021267363,-0.18709745137869058,1.0,0.8235294117647058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,-0.11889588464175335,0.0,-0.04246273862179537,0.25482036483613624,0.10422022198346344,0.23378326509723643,-0.11941338547680073,0.7476682965010647,-0.0497418350791043,-0.09339853118403428,0.0,0,0,0.0,-0.1773537275724351,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,8.689280893834695,0.5259000178942969,-1.524761834304704,-0.6364679417964751,0.6666666666666666,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,-0.11368910960262131,0.0,0.18301492556318083,0.666660902599692,0.21748437187379646,0.2816658137154555,-0.11941338547680073,0.7476682965010647,-0.07292333901996978,0.14106474220771673,0.0,0,0,0.0,-0.03822809853087532,0.0,-0.12778000691780353,-0.2913216152289169,1.0592158252072172,8.877923102850524,1.0037288270444984,0.4279001021267363,-0.18709745137869058,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,-0.08808913232688877,3.044522437723423,-0.5017695091424214,-0.4904148939741076,-0.1537703416556285,0.2898541453428864,0.02496415681288589,-1.2127543428769563,-0.07292333901996978,-0.3831422851666948,0.0,0,0,0.0028328611898017,-0.46664692308048644,5.088830141681313,-0.1266468280885368,-0.2913216152289169,0.3267039529939809,8.909559550934821,-0.3387425891394011,0.7533405037620823,0.7116435294568785,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
